用户名,楼层,回复内容,回复时间,服务器,角色id
光辉岁月,4,"挺好的啊，改名干啥。。

一定要改的话：
陆游→唐婉
唐婉→陆游",2022-02-25 21:25:20,,
吴寄子,21,"服务器:木兰山中
ID:10345063
角色名:晏惊春

陆游-陆方文 
取放翁谐音，亦为放拆字，体现其为人端方的文人形象。 
唐婉-苑棠 
取宛字一部，将名字倒过来，防止太过明显。 
萧摩诃-（萧）元胤 
元胤为其字，当然元也可作为北朝人姓氏。 
高长恭-高肃之 
高肃为其本名，长恭本为其字。加个之字凑数。另外肃字又与剧情中其玩世不恭的跳脱形象形成对比。 
两个完颜老儿则完全没有让人起名的欲望……

我个人的理解是，首当其冲的这几位是与主线有过多牵扯，或是对外宣发的侠客形象。陆游作为剧情中的东灵剑主，在其他几位都是原创侠客，或是后续他会有汉家世界观下与历史不同的剧情的情况下，唐突遭改动也并不是难以接受的事。。。希望最后能得到一个玩家相对满意的结果吧。",2022-02-25 22:00:24,木兰山中,10345063
白雪公猪,62,"难得看自己id了。
建议换名不要给原来的侠客换姓，用谐音，也使得老玩家能知道这个侠客指谁（特别是弃坑回坑的玩家），例如：
陆鼬
唐绾
完颜晾
完颜镛
萧摩氪
高长弓
",2022-02-25 23:25:36,,
今夕何夕,16,"服务器：天山雪谷
id:10716674
1.陆游——陆务（取自陆游字务观）
2.唐婉——唐蕙（取自唐婉字蕙仙）
3.完颜亮——完颜功（取自完颜亮字元功）
4.完颜雍——完颜宗（取自本身是金世宗）
5.萧摩诃——萧元（取自萧摩诃字元胤）
6.高长恭——高孝陵（取自族名以及兰陵王）",2022-02-25 21:55:01,天山雪谷,
宿悸,26,"服务器:苗疆密林
ID:10677360

萧摩柯–––萧漠河
知道那个字念ke啦不过这样好避嫌，漠是因为武学是大漠一指用自己的名字起武学名很合理
高长恭–––高肃齐 
本名高肃 北齐宗室",2022-02-25 22:17:21,苗疆密林,10677360
Catchope,54,"服务器: 墨家古阵
ID:10196409
1.陆游——陆寻知
2.唐婉——唐盼音
3.完颜亮——完颜缺
4.完颜雍——完颜逝明
5.萧摩诃——萧凌空
6.高长恭——高败",2022-02-25 23:01:05,墨家古阵,10196409
Zeus,196,"墨家古阵
id:10770207
1.陆游——陆郎or陆翁
2.唐婉——唐琬
3.完颜亮——完颜谅
4.完颜雍——完颜庸
5.萧摩诃——萧摩抲
6.高长恭——高常恭",2022-03-02 14:38:52,,
网络潜渊者,125,"服务器：无名幻境
ID：11292563

陆游——陆少游，或者陆务观。理由：陆游，字务观，其名出自列子•仲尼“务外游，不知务内观”，意为列子只知道欣赏外物的万千变化，却不知道自身也在不停地变化之中；只知道欣赏外物的绚丽多彩，却不知道欣赏自己的内心世界。故少游和务观同义，皆要求人要不假外物，自省内观，而这样的人才能怀北伐之志，担北伐之任，符合游戏剧情。

唐婉——唐绾倾，绾，是盘绕，系结的意思，这里谐音“绾青丝”，意指美好曼妙的女性；同时，绾可解释为系念，挂念，搭配“倾”字，意指对陆郎的倾慕爱念。这个名字表达了对陆游唐婉这对佳人的美好祝愿。

高长恭——高楚渊；楚渊，可意为“处渊”，暗止兰陵王在官场之上，纵有才华，也要以面具遮面，如临深渊，毕竟历史上兰陵王便是功高盖主被赐鸩酒而死；另楚作形容词，有痛楚的意思，也有衣冠楚楚的意思，表现了兰陵王一个复杂的人设，而渊，同“鸢”，意指鹰击长空，也是为了描写兰陵王的天纵才华与雄心壮志

萧摩柯——萧元胤。理由：萧摩柯，字元胤

完颜亮——完颜明

完颜雍——完颜碌


",2022-02-26 15:28:33,无名幻境,11292563
麒麟墨者,76,"我不要奖励，因为我觉得真没必要改，要求给这些人改名的家伙真的是闲得蛋疼。
但是松鼠改的原因可能比较复杂，所以我闭嘴，尊重所有人的意见。
1.陆游——陆川
源于，希望陆游前辈来世能一马平川，与爱人共游天下锦绣山河，这一美好愿景。
2.唐婉——唐萍
萍，可联系郭靖之母“李萍”，萍字的象征有漂泊离散，命数不定，饱受风波坎坷之意。取“萍”字不仅暗合两人的爱情遭遇，更与唐婉剧情中一再退让，逆来顺受，沉静温婉的性格相应。
3.完颜亮——完颜烈
爱叫啥叫啥，没人关心。
4.完颜雍——完颜华
同上，又不能当后宫，谁关心他叫啥。
5.萧摩诃——萧墨
既然他以前是黑衣教的，入我黑衣，终身为墨，上辈子逃掉的，这辈子咱重新给他刷上。
6.高长恭——高誉
最随便的，可以把段誉直接拉过来融了。
原剧情本来就已经很二了，现在还要给这位二哈改个名字，好！如果还是不入队，改名后就早点入土吧兄弟 doge。",2022-02-26 01:52:42,,
安屠生,182,"墨家古阵
10493695
1. 陆游——陆太极
2. 唐婉——唐挡刀
3. 完颜亮——完颜弟
4. 完颜雍——完颜弟弟
5. 萧摩诃——萧弟弟
6. 高长恭——高弟弟
",2022-02-28 16:10:15,,
梦里锁千秋,61,"服务器:天津晓月
ID:10439511
陆游——陆复。夜阑卧听风吹雨，铁马冰河入梦来。山河破碎，故国未还，我之心愿何时复？
唐婉——唐兮。有一美人兮，婉兮清扬。
萧摩诃——萧无量。摩诃一般为佛门名词，取无量以代之，意为摩诃无量。
高长恭——高陵。取其兰陵王名号之意。",2022-02-25 23:24:08,天津晓月,10439511
星空大南山疯清扬,30,"服务器：天山雪谷
10640211
南山拓海
1. 陆游——陆大海
2. 唐婉——唐小溪
3. 完颜亮——完颜凉
4. 完颜雍——完颜绿
5. 萧摩诃——萧虎尤
6. 高长恭——高短恭
",2022-02-25 22:18:19,天山雪谷,
卓憬,56,"苗疆密林
10505691

1.陆游——陆犹（犹豫的犹）
2.唐婉——唐惋（惋惜的惋）
3.完颜亮——完颜谅
4.完颜雍——完颜镛
5.箫摩诃——箫漠河
6.高长恭——高常恭

ps，李白王维苏轼：？？？",2022-02-25 23:04:11,,
简策,132,为啥要改啊…这里面不是有很多历史人物吗,2022-02-26 20:15:54,,
华山底层弟子·送货郎,35,"明月楼
10144461
陆游→送货郎
唐婉→送分郎[tapemoji=40][/tapemoji]
",2022-02-25 22:25:47,,
青衫酒,59,"服务器：墨家古阵
iD: 10033954
1. 陆游——陆放
2. 唐婉——唐蕙
3. 完颜亮——完颜热
4. 完颜雍——完颜凉
5. 萧摩诃——萧炎
6. 高长恭——高晓松",2022-02-25 23:19:36,墨家古阵,
不想凉凉啊,39,"服务器：天山雪谷

ID：[url=tel:10927326]10927326[/url]

1.陆游--陆书莫（山盟虽在，锦书难托。莫莫莫。）

2.唐婉--棠陌春（城南小陌又逢春，只见梅花不见人）

5.萧摩诃--萧业修（前世摩诃无量，今生修业果报）",2022-02-25 22:31:00,天山雪谷,[url=tel10927326]10927326[/url]
